Kuwait                   cases: 289    	 total deaths:       	First case: Feb 23 
Azerbaijan               cases: 298    	 total deaths: 5     	First case: Feb 27 
Belize                   cases: 3      	 total deaths:       	First case: Mar 22 
Botswana                 cases: 3      	 total deaths:       	First case: Mar 29 
British Virgin Islands   cases: 3      	 total deaths:       	First case: Mar 24 
CAR                      cases: 3      	 total deaths:       	First case: Mar 14 
Liberia                  cases: 3      	 total deaths:       	First case: Mar 15 
Ireland                  cases: 3,235  	 total deaths: 71    	First case: Feb 28 
Czechia                  cases: 3,257  	 total deaths: 31    	First case: Feb 29 
Djibouti                 cases: 30     	 total deaths:       	First case: Mar 17 
El Salvador              cases: 32     	 total deaths:       	First case: Mar 18 
Uruguay                  cases: 320    	 total deaths: 1     	First case: Mar 12 
Taiwan                   cases: 322    	 total deaths: 5     	First case: Jan 20 
North Macedonia          cases: 329    	 total deaths: 9     	First case: Feb 25 
Togo                     cases: 34     	 total deaths: 1     	First case: Mar 05 
Barbados                 cases: 34     	 total deaths:       	First case: Mar 16 
Kazakhstan               cases: 343    	 total deaths: 2     	First case: Mar 12 
Costa Rica               cases: 347    	 total deaths: 2     	First case: Mar 04 
Zambia                   cases: 35     	 total deaths:       	First case: Mar 17 
Moldova                  cases: 353    	 total deaths: 4     	First case: Mar 06 
Jamaica                  cases: 36     	 total deaths: 1     	First case: Mar 09 
French Polynesia         cases: 36     	 total deaths:       	First case: Mar 10 
Tunisia                  cases: 362    	 total deaths: 10    	First case: Mar 01 
Slovakia                 cases: 363    	 total deaths:       	First case: Mar 05 
Andorra                  cases: 376    	 total deaths: 12    	First case: Mar 01 
Guatemala                cases: 38     	 total deaths: 1     	First case: Mar 12 
Latvia                   cases: 398    	 total deaths:       	First case: Mar 01 
Bulgaria                 cases: 399    	 total deaths: 8     	First case: Mar 06 
Gambia                   cases: 4      	 total deaths: 1     	First case: Mar 16 
Nicaragua                cases: 4      	 total deaths: 1     	First case: Mar 18 
Bhutan                   cases: 4      	 total deaths:       	First case: Mar 05 
Sweden                   cases: 4,435  	 total deaths: 180   	First case: Jan 30 
Australia                cases: 4,561  	 total deaths: 19    	First case: Jan 24 
Norway                   cases: 4,635  	 total deaths: 39    	First case: Feb 25 
Macao                    cases: 41     	 total deaths:       	First case: Jan 21 
